"代號","名稱","成交","漲跌價","漲跌幅","股利發放年度","除息交易日","現金股利","除息前價格","除息參考價","除息至今漲跌價","除息至今漲跌幅","填息貼息(元)","填息花費日數","除權交易日","股票股利","除權前價格","除權參考價","除權至今漲跌價","除權至今漲跌幅","填權貼權(元)","填權花費日數"
="4562","穎漢","16.3","-0.05","-0.31","2019","19'07/18","1.5","33.5","32","-15.7","-49.1","-17.2","921","","0","","","","","",""
="4564","元翎","28.2","-2.6","-8.44","2019","19'07/19","2.5","58","55.5","-27.3","-49.2","-29.8","3","","0","","","","","",""
="4566","時碩工業","62.9","-0.9","-1.41","2019","19'07/25","1.99","45","43","+19.9","+46.3","+17.9","3","","0","","","","","",""
="4571","鈞興-KY","74","-0.3","-0.4","2019","","1.1","","","","","","","","0","","","","","",""
="4572","駐龍","180.5","+0.5","+0.28","2019","19'07/18","3.5","165.71","","","","+14.79","16","19'07/18","0.5","165.71","","","","+14.79","16"
="4576","大銀微系統","74.1","-0.8","-1.07","2019","19'08/07","0.8","98.93","","","","-24.83","1","","0","","","","","",""
="4581","光隆精密-KY","63.6","-2.3","-3.49","","","","","","","","","","","","","","","","",""
="4583","台灣精銳","264","-6","-2.22","","","","","","","","","","","","","","","","",""
="4720","德淵","15.15","-0.15","-0.98","2019","19'07/24","0.15","13.8","13.65","+1.5","+11","+1.35","2","","0","","","","","",""
="4722","國精化","34.8","+0.05","+0.14","2019","19'06/24","1.8","30.1","28.3","+6.5","+23","+4.7","364","","0","","","","","",""
="4737","華廣","77","-0.4","-0.52","2019","19'08/01","2","50.9","48.9","+28.1","+57.5","+26.1","35","","0","","","","","",""
="4739","康普","88","-0.6","-0.68","2019","19'07/08","3.2","84.2","81","+7","+8.64","+3.8","48","","0","","","","","",""
="4746","台耀","91.5","-3.8","-3.99","2019","19'08/14","0.5","36.7","36.2","+55.3","+153","+54.8","40","","0","","","","","",""
="4755","三福化","148.5","+2.5","+1.71","2019","19'07/01","2.7","46.7","44","+104.5","+238","+101.8","121","","0","","","","","",""
="4763","材料-KY","722","+43","+6.33","2019","19'09/04","4","149","132","+590","+447","+573","255","19'09/04","1","149","132","+590","+447","+573","255"
="4764","雙鍵","47.1","-0.8","-1.67","2019","19'08/08","5","81.8","69.8","-22.7","-32.5","-34.7","","19'08/08","1","81.8","69.8","-22.7","-32.5","-34.7",""
="4766","南寶","163","0","0","2019","19'08/02","5","176.5","171.5","-8.5","-4.96","-13.5","7","","0","","","","","",""
="4770","上品","294","+2","+0.68","","","","","","","","","","","","","","","","",""
="4807","日成-KY","18.35","-0.4","-2.13","2019","19'08/26","4","34.85","30.85","-12.5","-40.5","-16.5","175","","0","","","","","",""
="4904","遠傳","70.2","-0.6","-0.85","2019","19'07/16","3.75","76","72.3","-2.1","-2.9","-5.8","671","","0","","","","","",""
="4906","正文","32.1","-0.3","-0.93","2019","","0","","","","","","","","0","","","","","",""
="4912","聯德控股-KY","82.1","-1.9","-2.26","2019","19'08/15","2.5","141.5","116","-33.9","-29.2","-59.4","244","19'08/15","2","141.5","116","-33.9","-29.2","-59.4","244"
="4915","致伸","62.9","+0.9","+1.45","2019","19'07/22","2.4","53.5","51.1","+11.8","+23.1","+9.4","3","","0","","","","","",""
="4916","事欣科","41.25","-2.25","-5.17","2019","19'07/04","2.47","36.15","33.65","+7.6","+22.6","+5.1","78","","0","","","","","",""
